mouse_symbol	mouse_ensembl	human_symbol	mapping_type	matrix_symbol_normalised_to	normalisation_source	babelgene_version
Baiap2l2	ENSMUSG00000018126	BAIAP2L2	one2one	NA		22.9
Baiap3	ENSMUSG00000047507	BAIAP3	one2one	NA		22.9
Bak1	ENSMUSG00000057789	BAK1	one2one	NA		22.9
Bambi	ENSMUSG00000024232	BAMBI	one2one	NA		22.9
Banf1	ENSMUSG00000024844	BANF1	one2one	NA		22.9
Bank1	ENSMUSG00000037922	BANK1	one2one	NA		22.9
Banp	ENSMUSG00000025316	BANP	one2one	NA		22.9
Bap1	ENSMUSG00000021901	BAP1	one2one	NA		22.9
Bard1	ENSMUSG00000026196	BARD1	one2one	NA		22.9
Barhl1	ENSMUSG00000026805	BARHL1	one2one	NA		22.9
Barx1	ENSMUSG00000021381	BARX1	one2one	NA		22.9
Barx2	ENSMUSG00000032033	BARX2	one2one	NA		22.9
Basp1	ENSMUSG00000045763	BASP1	one2one	NA		22.9
Batf	ENSMUSG00000034266	BATF	one2one	NA		22.9
Batf2	ENSMUSG00000039699	BATF2	one2one	NA		22.9
Batf3	ENSMUSG00000026630	BATF3	one2one	NA		22.9
Bax	ENSMUSG00000003873	BAX	one2one	NA		22.9
Baz1a	ENSMUSG00000035021	BAZ1A	one2one	NA		22.9
Baz1b	ENSMUSG00000002748	BAZ1B	one2one	NA		22.9
Baz2a	ENSMUSG00000040054	BAZ2A	one2one	NA		22.9
Baz2b	ENSMUSG00000026987	BAZ2B	one2one	NA		22.9
Bbc3	ENSMUSG00000002083	BBC3	one2one	NA		22.9
Bbip1	ENSMUSG00000084957	BBIP1	one2one	NA		22.9
Bbof1	ENSMUSG00000057265	BBOF1	one2one	NA		22.9
Bbs1	ENSMUSG00000006464	BBS1	one2one	NA		22.9
Bbs10	ENSMUSG00000035759	BBS10	one2one	NA		22.9
Bbs12	ENSMUSG00000051444	BBS12	one2one	NA		22.9
Bbs2	ENSMUSG00000031755	BBS2	one2one	NA		22.9
Bbs4	ENSMUSG00000025235	BBS4	one2one	NA		22.9
Bbs5	ENSMUSG00000063145	BBS5	one2one	NA		22.9
Bbs7	ENSMUSG00000037325	BBS7	one2one	NA		22.9
Bbs9	ENSMUSG00000035919	BBS9	one2one	NA		22.9
Bbx	ENSMUSG00000022641	BBX	one2one	NA		22.9
BC003965	ENSMUSG00000067722	UQCC4	one2one	NA		22.9
BC004004	ENSMUSG00000052712	C6orf89	one2one	NA		22.9
BC005537	ENSMUSG00000019132	C6orf62	one2one	NA		22.9
BC005624	ENSMUSG00000026851	C9orf78	one2one	NA		22.9
BC024978	ENSMUSG00000078786	C19orf54	one2one	NA		22.9
BC028528	ENSMUSG00000038543	C1orf54	one2one	NA		22.9
BC029722	ENSMUSG00000074649	MMP24OS	one2one	NA		22.9
BC031181	ENSMUSG00000036299	C18orf32	one2one	NA		22.9
BC034090	ENSMUSG00000033722	KIAA1614	one2one	NA		22.9
BC049715	ENSMUSG00000047515	C12orf60	one2one	NA		22.9
BC051019	ENSMUSG00000031022	C11orf16	one2one	NA		22.9
BC053393	ENSMUSG00000046974	HAVCR1	many2one	NA		22.9
BC055324	ENSMUSG00000041406	C1orf112	one2one	NA		22.9
Bcam	ENSMUSG00000002980	BCAM	one2one	NA		22.9
Bcap29	ENSMUSG00000020650	BCAP29	one2one	NA		22.9
Bcap31	ENSMUSG00000002015	BCAP31	one2one	NA		22.9
Bcar1	ENSMUSG00000031955	BCAR1	one2one	NA		22.9
Bcar3	ENSMUSG00000028121	BCAR3	one2one	NA		22.9
Bcas1	ENSMUSG00000013523	BCAS1	one2one	NA		22.9
Bcas2	ENSMUSG00000005687	BCAS2	one2one	NA		22.9
Bcas3	ENSMUSG00000059439	BCAS3	one2one	NA		22.9
Bcat1	ENSMUSG00000030268	BCAT1	one2one	NA		22.9
Bcat2	ENSMUSG00000030826	BCAT2	one2one	NA		22.9
Bccip	ENSMUSG00000030983	BCCIP	one2one	NA		22.9
Bcdin3d	ENSMUSG00000037525	BCDIN3D	one2one	NA		22.9
Bckdha	ENSMUSG00000060376	BCKDHA	one2one	NA		22.9
Bckdhb	ENSMUSG00000032263	BCKDHB	one2one	NA		22.9
Bckdk	ENSMUSG00000030802	BCKDK	one2one	NA		22.9
Bcl10	ENSMUSG00000028191	BCL10	one2one	NA		22.9
Bcl11a	ENSMUSG00000000861	BCL11A	one2one	NA		22.9
Bcl11b	ENSMUSG00000048251	BCL11B	one2one	NA		22.9
Bcl2	ENSMUSG00000057329	BCL2	one2one	NA		22.9
Bcl2a1a	ENSMUSG00000102037	BCL2A1	many2one	NA		22.9
Bcl2a1b	ENSMUSG00000089929	BCL2A1	many2one	NA		22.9
Bcl2a1d	ENSMUSG00000099974	BCL2A1	many2one	NA		22.9
Bcl2l1	ENSMUSG00000007659	BCL2L1	one2one	NA		22.9
Bcl2l10	ENSMUSG00000032191	BCL2L10	one2one	NA		22.9
Bcl2l11	ENSMUSG00000027381	BCL2L11	one2one	NA		22.9
Bcl2l12	ENSMUSG00000003190	BCL2L12	one2one	NA		22.9
Bcl2l13	ENSMUSG00000009112	BCL2L13	one2one	NA		22.9
Bcl2l14	ENSMUSG00000030200	BCL2L14	one2one	NA		22.9
Bcl2l15	ENSMUSG00000044165	BCL2L15	one2one	NA		22.9
Bcl2l2	ENSMUSG00000089682	BCL2L2	one2one	NA		22.9
Bcl3	ENSMUSG00000053175	BCL3	one2one	NA		22.9
Bcl6	ENSMUSG00000022508	BCL6	one2one	NA		22.9
Bcl6b	ENSMUSG00000000317	BCL6B	one2one	NA		22.9
Bcl7a	ENSMUSG00000029438	BCL7A	one2one	NA		22.9
Bcl7b	ENSMUSG00000029681	BCL7B	one2one	NA		22.9
Bcl7c	ENSMUSG00000030814	BCL7C	one2one	NA		22.9
Bcl9	ENSMUSG00000038256	BCL9	one2one	NA		22.9
Bcl9l	ENSMUSG00000063382	BCL9L	one2one	NA		22.9
Bclaf1	ENSMUSG00000037608	BCLAF1	one2one	NA		22.9
Bclaf3	ENSMUSG00000044150	BCLAF3	one2one	NA		22.9
Bco2	ENSMUSG00000032066	BCO2	one2one	NA		22.9
Bcor	ENSMUSG00000040363	BCOR	one2one	NA		22.9
Bcorl1	ENSMUSG00000036959	BCORL1	one2one	NA		22.9
Bcr	ENSMUSG00000009681	BCR	one2one	NA		22.9
Bcs1l	ENSMUSG00000026172	BCS1L	one2one	NA		22.9
Bdh1	ENSMUSG00000046598	BDH1	one2one	NA		22.9
Bdh2	ENSMUSG00000028167	BDH2	one2one	NA		22.9
Bdkrb1	ENSMUSG00000041347	BDKRB1	one2one	NA		22.9
Bdp1	ENSMUSG00000049658	BDP1	one2one	NA		22.9
Becn1	ENSMUSG00000035086	BECN1	one2one	NA		22.9
Begain	ENSMUSG00000040867	BEGAIN	one2one	NA		22.9
Bend3	ENSMUSG00000038214	BEND3	one2one	NA		22.9
Bend4	ENSMUSG00000092060	BEND4	one2one	NA		22.9
Bend5	ENSMUSG00000028545	BEND5	one2one	NA		22.9
Bend6	ENSMUSG00000042182	BEND6	one2one	NA		22.9
Bet1	ENSMUSG00000032757	BET1	one2one	NA		22.9
Bet1l	ENSMUSG00000025484	BET1L	one2one	NA		22.9
Bex1	ENSMUSG00000050071	BEX1	one2many	NA		22.9
Bex1	ENSMUSG00000050071	BEX2	one2many	NA		22.9
Bex2	ENSMUSG00000042750	BEX1	many2one	NA		22.9
Bex3	ENSMUSG00000046432	BEX3	one2one	NA		22.9
Bfar	ENSMUSG00000022684	BFAR	one2one	NA		22.9
Bfsp2	ENSMUSG00000032556	BFSP2	one2one	NA		22.9
Bglap3	ENSMUSG00000074489	BGLAP	one2one	NA		22.9
Bhlha15	ENSMUSG00000052271	BHLHA15	one2one	NA		22.9
Bhlhb9	ENSMUSG00000072964	GPRASP3	one2one	NA		22.9
Bhlhe40	ENSMUSG00000030103	BHLHE40	one2one	NA		22.9
Bhlhe41	ENSMUSG00000030256	BHLHE41	one2one	NA		22.9
Bicd1	ENSMUSG00000003452	BICD1	one2one	NA		22.9
Bicd2	ENSMUSG00000037933	BICD2	one2one	NA		22.9
Bicdl1	ENSMUSG00000041609	BICDL1	one2one	NA		22.9
Bicdl2	ENSMUSG00000043782	BICDL2	one2one	NA		22.9
Bicra	ENSMUSG00000070808	BICRA	one2one	NA		22.9
Bicral	ENSMUSG00000036568	BICRAL	one2one	NA		22.9
Bid	ENSMUSG00000004446	BID	one2one	NA		22.9
Bik	ENSMUSG00000016758	BIK	one2one	NA		22.9
Bin1	ENSMUSG00000024381	BIN1	one2one	NA		22.9
Bin2	ENSMUSG00000098112	BIN2	one2one	NA		22.9
Bin3	ENSMUSG00000022089	BIN3	one2one	NA		22.9
Birc2	ENSMUSG00000057367	BIRC2	one2one	NA		22.9
Birc3	ENSMUSG00000032000	BIRC3	one2one	NA		22.9
Birc5	ENSMUSG00000017716	BIRC5	one2one	NA		22.9
Birc6	ENSMUSG00000024073	BIRC6	one2one	NA		22.9
Bivm	ENSMUSG00000041684	BIVM	one2one	NA		22.9
Blcap	ENSMUSG00000067787	BLCAP	one2one	NA		22.9
Blk	ENSMUSG00000014453	BLK	one2one	NA		22.9
Blm	ENSMUSG00000030528	BLM	one2one	NA		22.9
Blmh	ENSMUSG00000020840	BLMH	one2one	NA		22.9
Blnk	ENSMUSG00000061132	BLNK	one2one	NA		22.9
Bloc1s1	ENSMUSG00000090247	BLOC1S1	one2one	NA		22.9
Bloc1s2	ENSMUSG00000057506	BLOC1S2	one2one	NA		22.9
Bloc1s3	ENSMUSG00000057667	BLOC1S3	one2one	NA		22.9
Bloc1s4	ENSMUSG00000060708	BLOC1S4	one2one	NA		22.9
Bloc1s5	ENSMUSG00000038982	BLOC1S5	one2one	NA		22.9
Bloc1s6	ENSMUSG00000005804	BLOC1S6	one2one	NA		22.9
Blvra	ENSMUSG00000001999	BLVRA	one2one	NA		22.9
Blvrb	ENSMUSG00000040466	BLVRB	one2one	NA		22.9
Blzf1	ENSMUSG00000026577	BLZF1	one2one	NA		22.9
Bmerb1	ENSMUSG00000044117	BMERB1	one2one	NA		22.9
Bmf	ENSMUSG00000040093	BMF	one2one	NA		22.9
Bmi1	ENSMUSG00000026739	BMI1	one2one	NA		22.9
Bmp1	ENSMUSG00000022098	BMP1	one2one	NA		22.9
Bmp2	ENSMUSG00000027358	BMP2	one2one	NA		22.9
Bmp2k	ENSMUSG00000034663	BMP2K	one2one	NA		22.9
Bmp7	ENSMUSG00000008999	BMP7	one2one	NA		22.9
Bmp8b	ENSMUSG00000002384	BMP8B	one2one	NA		22.9
Bmpr1a	ENSMUSG00000021796	BMPR1A	one2one	NA		22.9
Bmpr2	ENSMUSG00000067336	BMPR2	one2one	NA		22.9
Bms1	ENSMUSG00000030138	BMS1	one2one	NA		22.9
Bmt2	ENSMUSG00000042742	BMT2	one2one	NA		22.9
Bnip1	ENSMUSG00000024191	BNIP1	one2one	NA		22.9
Bnip2	ENSMUSG00000011958	BNIP2	one2one	NA		22.9
Bnip3	ENSMUSG00000078566	BNIP3	one2one	NA		22.9
Bnip3l	ENSMUSG00000022051	BNIP3L	one2one	NA		22.9
Bnip5	ENSMUSG00000048905	BNIP5	one2one	NA		22.9
Bnipl	ENSMUSG00000028115	BNIPL	one2one	NA		22.9
Boc	ENSMUSG00000022687	BOC	one2one	NA		22.9
Bod1	ENSMUSG00000044502	BOD1	one2one	NA		22.9
Bod1l	ENSMUSG00000061755	BOD1L1	one2one	NA		22.9
Bok	ENSMUSG00000026278	BOK	one2one	NA		22.9
Bola1	ENSMUSG00000015943	BOLA1	one2one	NA		22.9
Bola2	ENSMUSG00000047721	BOLA2	one2one	NA		22.9
Bola3	ENSMUSG00000045160	BOLA3	one2one	NA		22.9
Boll	ENSMUSG00000025977	BOLL	one2one	NA		22.9
Bop1	ENSMUSG00000022557	BOP1	one2one	NA		22.9
Bora	ENSMUSG00000022070	BORA	one2one	NA		22.9
Borcs5	ENSMUSG00000042992	BORCS5	one2one	NA		22.9
Borcs6	ENSMUSG00000045176	BORCS6	one2one	NA		22.9
Borcs7	ENSMUSG00000062376	BORCS7	one2one	NA		22.9
Borcs8	ENSMUSG00000002345	BORCS8	one2one	NA		22.9
Bpgm	ENSMUSG00000038871	BPGM	one2one	NA		22.9
Bphl	ENSMUSG00000038286	BPHL	one2one	NA		22.9
Bpifc	ENSMUSG00000050108	BPIFC	one2one	NA		22.9
Bpnt1	ENSMUSG00000026617	BPNT1	one2one	NA		22.9
Bptf	ENSMUSG00000040481	BPTF	one2one	NA		22.9
Braf	ENSMUSG00000002413	BRAF	one2one	NA		22.9
Brap	ENSMUSG00000029458	BRAP	one2one	NA		22.9
Brat1	ENSMUSG00000000148	BRAT1	one2one	NA		22.9
Brca1	ENSMUSG00000017146	BRCA1	one2one	NA		22.9
Brca2	ENSMUSG00000041147	BRCA2	one2one	NA		22.9
Brcc3	ENSMUSG00000031201	BRCC3	one2one	NA		22.9
Brd1	ENSMUSG00000022387	BRD1	one2one	NA		22.9
Brd2	ENSMUSG00000024335	BRD2	one2one	NA		22.9
Brd3	ENSMUSG00000026918	BRD3	one2one	NA		22.9
Brd3os	ENSMUSG00000109946	BRD3OS	one2one	NA		22.9
Brd4	ENSMUSG00000024002	BRD4	one2one	NA		22.9
Brd7	ENSMUSG00000031660	BRD7	one2one	NA		22.9
Brd8	ENSMUSG00000003778	BRD8	one2one	NA		22.9
Brd9	ENSMUSG00000057649	BRD9	one2one	NA		22.9
Brdt	ENSMUSG00000029279	BRDT	one2one	NA		22.9
Brf1	ENSMUSG00000011158	BRF1	one2one	NA		22.9
Brf2	ENSMUSG00000031487	BRF2	one2one	NA		22.9
Bri3	ENSMUSG00000047843	BRI3	one2one	NA		22.9
Bri3bp	ENSMUSG00000037905	BRI3BP	one2one	NA		22.9
Brip1	ENSMUSG00000034329	BRIP1	one2one	NA		22.9
Brix1	ENSMUSG00000022247	BRIX1	one2one	NA		22.9
Brk1	ENSMUSG00000033940	BRK1	one2one	NA		22.9
Brms1	ENSMUSG00000080268	BRMS1	one2one	NA		22.9
Brms1l	ENSMUSG00000012076	BRMS1L	one2one	NA		22.9
Brox	ENSMUSG00000046836	BROX	one2one	NA		22.9
Brpf1	ENSMUSG00000001632	BRPF1	one2one	NA		22.9
Brpf3	ENSMUSG00000063952	BRPF3	one2one	NA		22.9
Brsk1	ENSMUSG00000035390	BRSK1	one2one	NA		22.9
Brwd1	ENSMUSG00000022914	BRWD1	one2one	NA		22.9
Brwd3	ENSMUSG00000063663	BRWD3	one2one	NA		22.9
Bscl2	ENSMUSG00000071657	BSCL2	one2one	NA		22.9
Bsdc1	ENSMUSG00000040859	BSDC1	one2one	NA		22.9
Bsg	ENSMUSG00000023175	BSG	one2one	NA		22.9
Bsn	ENSMUSG00000032589	BSN	one2one	NA		22.9
Bspry	ENSMUSG00000028392	BSPRY	one2one	NA		22.9
Bst1	ENSMUSG00000029082	BST1	one2one	NA		22.9
Bst2	ENSMUSG00000046718	BST2	one2one	NA		22.9
Btaf1	ENSMUSG00000040565	BTAF1	one2one	NA		22.9
Btbd1	ENSMUSG00000025103	BTBD1	one2one	NA		22.9
Btbd10	ENSMUSG00000038187	BTBD10	one2one	NA		22.9
Btbd11	ENSMUSG00000020042	ABTB3	one2one	Abtb3	org.Mm.eg.db	22.9
Btbd18	ENSMUSG00000086598	BTBD18	one2one	NA		22.9
Btbd19	ENSMUSG00000073771	BTBD19	one2one	NA		22.9
Btbd2	ENSMUSG00000003344	BTBD2	one2one	NA		22.9
Btbd3	ENSMUSG00000062098	BTBD3	one2one	NA		22.9
Btbd6	ENSMUSG00000002803	BTBD6	one2one	NA		22.9
Btbd7	ENSMUSG00000041702	BTBD7	one2one	NA		22.9
Btbd8	ENSMUSG00000111375	BTBD8	one2one	NA		22.9
Btbd9	ENSMUSG00000062202	BTBD9	one2one	NA		22.9
Btc	ENSMUSG00000082361	BTC	one2one	NA		22.9
Btd	ENSMUSG00000021900	BTD	one2one	NA		22.9
Btf3	ENSMUSG00000021660	BTF3	one2one	NA		22.9
Btf3l4	ENSMUSG00000028568	BTF3L4	one2one	NA		22.9
Btg1	ENSMUSG00000036478	BTG1	one2one	NA		22.9
Btg2	ENSMUSG00000020423	BTG2	one2one	NA		22.9
Btg3	ENSMUSG00000022863	BTG3	one2one	NA		22.9
Btk	ENSMUSG00000031264	BTK	one2one	NA		22.9
Btla	ENSMUSG00000052013	BTLA	one2one	NA		22.9
Btnl9	ENSMUSG00000040283	BTNL9	one2one	NA		22.9
Btrc	ENSMUSG00000025217	BTRC	one2one	NA		22.9
Bub1	ENSMUSG00000027379	BUB1	one2one	NA		22.9
Bub1b	ENSMUSG00000040084	BUB1B	one2one	NA		22.9
Bub3	ENSMUSG00000066979	BUB3	one2one	NA		22.9
Bud13	ENSMUSG00000032077	BUD13	one2one	NA		22.9
Bud23	ENSMUSG00000005378	BUD23	one2one	NA		22.9
Bud31	ENSMUSG00000038722	BUD31	one2one	NA		22.9
Bysl	ENSMUSG00000023988	BYSL	one2one	NA		22.9
Bzw1	ENSMUSG00000051223	BZW1	one2one	NA		22.9
Bzw2	ENSMUSG00000020547	BZW2	one2one	NA		22.9
C030006K11Rik	ENSMUSG00000116138	C8orf82	one2one	NA		22.9
C1d	ENSMUSG00000000581	C1D	one2one	NA		22.9
C1galt1	ENSMUSG00000042460	C1GALT1	one2one	NA		22.9
C1galt1c1	ENSMUSG00000048970	C1GALT1C1	one2one	NA		22.9
C1qbp	ENSMUSG00000018446	C1QBP	one2one	NA		22.9
C1ql3	ENSMUSG00000049630	C1QL3	one2one	NA		22.9
C1qtnf1	ENSMUSG00000017446	C1QTNF1	one2one	NA		22.9
C1qtnf12	ENSMUSG00000023571	C1QTNF12	one2one	NA		22.9
C1qtnf3	ENSMUSG00000058914	C1QTNF3	one2one	NA		22.9
C1qtnf4	ENSMUSG00000040794	C1QTNF4	one2one	NA		22.9
C1qtnf6	ENSMUSG00000022440	C1QTNF6	one2one	NA		22.9
C1ra	ENSMUSG00000055172	C1R	one2one	NA		22.9
C1rl	ENSMUSG00000038527	C1RL	one2one	NA		22.9
C1s1	ENSMUSG00000038521	C1S	many2one	NA		22.9
C1s2	ENSMUSG00000079343	C1S	many2one	NA		22.9
C2	ENSMUSG00000024371	C2	one2one	NA		22.9
C2cd2	ENSMUSG00000045975	C2CD2	one2one	NA		22.9
C2cd2l	ENSMUSG00000032120	C2CD2L	one2one	NA		22.9
C2cd3	ENSMUSG00000047248	C2CD3	one2one	NA		22.9
C2cd4b	ENSMUSG00000091956	C2CD4B	one2one	NA		22.9
C2cd4d	ENSMUSG00000091648	C2CD4D	one2one	NA		22.9
C2cd5	ENSMUSG00000030279	C2CD5	one2one	NA		22.9
C3	ENSMUSG00000024164	C3	one2one	NA		22.9
C330007P06Rik	ENSMUSG00000006423	STEEP1	one2one	Steep1	org.Mm.eg.db	22.9
C330018D20Rik	ENSMUSG00000024592	C5orf63	one2one	NA		22.9
C4a	ENSMUSG00000015451	C4A	one2many	NA		22.9
C4a	ENSMUSG00000015451	C4B	one2many	NA		22.9
C530008M17Rik	ENSMUSG00000036377	CRACD	one2one	Cracd	org.Mm.eg.db	22.9
C5ar2	ENSMUSG00000074361	C5AR2	one2one	NA		22.9
C77080	ENSMUSG00000050390	KIAA1522	one2one	NA		22.9
C87436	ENSMUSG00000046679	C2orf42	one2one	NA		22.9
C8g	ENSMUSG00000015083	C8G	one2one	NA		22.9
C9orf72	ENSMUSG00000028300	C9orf72	one2one	NA		22.9
Caap1	ENSMUSG00000028578	CAAP1	one2one	NA		22.9
Cab39	ENSMUSG00000036707	CAB39	one2one	NA		22.9
Cab39l	ENSMUSG00000021981	CAB39L	one2one	NA		22.9
Cabcoco1	ENSMUSG00000019945	CABCOCO1	one2one	NA		22.9
Cabin1	ENSMUSG00000020196	CABIN1	one2one	NA		22.9
Cables1	ENSMUSG00000040957	CABLES1	one2one	NA		22.9
Cables2	ENSMUSG00000038990	CABLES2	one2one	NA		22.9
Cabp1	ENSMUSG00000029544	CABP1	one2one	NA		22.9
Cabp4	ENSMUSG00000024842	CABP4	one2one	NA		22.9
Cabp7	ENSMUSG00000009075	CABP7	one2one	NA		22.9
Cabyr	ENSMUSG00000024430	CABYR	one2one	NA		22.9
Cacfd1	ENSMUSG00000015488	CACFD1	one2one	NA		22.9
Cacna1a	ENSMUSG00000034656	CACNA1A	one2one	NA		22.9
Cacna1b	ENSMUSG00000004113	CACNA1B	one2one	NA		22.9
Cacna1c	ENSMUSG00000051331	CACNA1C	one2one	NA		22.9
Cacna1d	ENSMUSG00000015968	CACNA1D	one2one	NA		22.9
Cacna1f	ENSMUSG00000031142	CACNA1F	one2one	NA		22.9
Cacna1g	ENSMUSG00000020866	CACNA1G	one2one	NA		22.9
Cacna1i	ENSMUSG00000022416	CACNA1I	one2one	NA		22.9
Cacna2d1	ENSMUSG00000040118	CACNA2D1	one2one	NA		22.9
Cacna2d2	ENSMUSG00000010066	CACNA2D2	one2one	NA		22.9
Cacna2d4	ENSMUSG00000041460	CACNA2D4	one2one	NA		22.9
Cacnb1	ENSMUSG00000020882	CACNB1	one2one	NA		22.9
Cacnb2	ENSMUSG00000057914	CACNB2	one2one	NA		22.9
Cacnb3	ENSMUSG00000003352	CACNB3	one2one	NA		22.9
Cacnb4	ENSMUSG00000017412	CACNB4	one2one	NA		22.9
Cacng4	ENSMUSG00000020723	CACNG4	one2one	NA		22.9
Cacng8	ENSMUSG00000053395	CACNG8	one2one	NA		22.9
Cactin	ENSMUSG00000034889	CACTIN	one2one	NA		22.9
Cacul1	ENSMUSG00000033417	CACUL1	one2one	NA		22.9
Cacybp	ENSMUSG00000014226	CACYBP	one2one	NA		22.9
Cad	ENSMUSG00000013629	CAD	one2one	NA		22.9
Cadm1	ENSMUSG00000032076	CADM1	one2one	NA		22.9
Cadm4	ENSMUSG00000054793	CADM4	one2one	NA		22.9
Cage1	ENSMUSG00000044566	CAGE1	one2one	NA		22.9
Calca	ENSMUSG00000030669	CALCA	one2one	NA		22.9
Calcb	ENSMUSG00000030666	CALCB	one2one	NA		22.9
Calcoco1	ENSMUSG00000023055	CALCOCO1	one2one	NA		22.9
Calcrl	ENSMUSG00000059588	CALCRL	one2one	NA		22.9
Calhm1	ENSMUSG00000079258	CALHM1	one2one	NA		22.9
Calhm2	ENSMUSG00000033033	CALHM2	one2one	NA		22.9
Calhm4	ENSMUSG00000039508	CALHM4	one2one	NA		22.9
Calhm6	ENSMUSG00000046031	CALHM6	one2one	NA		22.9
Calm1	ENSMUSG00000001175	CALM1	one2one	NA		22.9
Calm2	ENSMUSG00000036438	CALM2	one2one	NA		22.9
Calm3	ENSMUSG00000019370	CALM3	one2one	NA		22.9
Calr	ENSMUSG00000003814	CALR	one2one	NA		22.9
Calr3	ENSMUSG00000019732	CALR3	one2one	NA		22.9
Calu	ENSMUSG00000029767	CALU	one2one	NA		22.9
Camk1	ENSMUSG00000030272	CAMK1	one2one	NA		22.9
Camk1d	ENSMUSG00000039145	CAMK1D	one2one	NA		22.9
Camk2a	ENSMUSG00000024617	CAMK2A	one2one	NA		22.9
Camk2b	ENSMUSG00000057897	CAMK2B	one2one	NA		22.9
Camk2d	ENSMUSG00000053819	CAMK2D	one2one	NA		22.9
Camk2g	ENSMUSG00000021820	CAMK2G	one2one	NA		22.9
Camk2n1	ENSMUSG00000046447	CAMK2N1	one2one	NA		22.9
Camk2n2	ENSMUSG00000051146	CAMK2N2	one2one	NA		22.9
Camk4	ENSMUSG00000038128	CAMK4	one2one	NA		22.9
Camkk1	ENSMUSG00000020785	CAMKK1	one2one	NA		22.9
Camkk2	ENSMUSG00000029471	CAMKK2	one2one	NA		22.9
Camkmt	ENSMUSG00000071037	CAMKMT	one2one	NA		22.9
Camkv	ENSMUSG00000032936	CAMKV	one2one	NA		22.9
Caml	ENSMUSG00000021501	CAMLG	one2one	NA		22.9
Camsap1	ENSMUSG00000026933	CAMSAP1	one2one	NA		22.9
Camsap2	ENSMUSG00000041570	CAMSAP2	one2one	NA		22.9
Camsap3	ENSMUSG00000044433	CAMSAP3	one2one	NA		22.9
Camta1	ENSMUSG00000014592	CAMTA1	one2one	NA		22.9
Camta2	ENSMUSG00000040712	CAMTA2	one2one	NA		22.9
Cand1	ENSMUSG00000020114	CAND1	one2one	NA		22.9
Cand2	ENSMUSG00000030319	CAND2	one2one	NA		22.9
Cant1	ENSMUSG00000025575	CANT1	one2one	NA		22.9
Canx	ENSMUSG00000020368	CANX	one2one	NA		22.9
Cap1	ENSMUSG00000028656	CAP1	one2one	NA		22.9
Cap2	ENSMUSG00000021373	CAP2	one2one	NA		22.9
Capg	ENSMUSG00000056737	CAPG	one2one	NA		22.9
Capn1	ENSMUSG00000024942	CAPN1	one2one	NA		22.9
Capn10	ENSMUSG00000026270	CAPN10	one2one	NA		22.9
Capn11	ENSMUSG00000058626	CAPN11	one2one	NA		22.9
Capn12	ENSMUSG00000054083	CAPN12	one2one	NA		22.9
Capn13	ENSMUSG00000043705	CAPN13	one2one	NA		22.9
Capn15	ENSMUSG00000037326	CAPN15	one2one	NA		22.9
Capn2	ENSMUSG00000026509	CAPN2	one2one	NA		22.9
Capn3	ENSMUSG00000079110	CAPN3	one2one	NA		22.9
Capn5	ENSMUSG00000035547	CAPN5	one2one	NA		22.9
Capn7	ENSMUSG00000021893	CAPN7	one2one	NA		22.9
Capns1	ENSMUSG00000001794	CAPNS1	one2one	NA		22.9
Caprin1	ENSMUSG00000027184	CAPRIN1	one2one	NA		22.9
Caprin2	ENSMUSG00000030309	CAPRIN2	one2one	NA		22.9
Capsl	ENSMUSG00000039676	CAPSL	one2one	NA		22.9
Capza1	ENSMUSG00000070372	CAPZA1	one2one	NA		22.9
Capza2	ENSMUSG00000015733	CAPZA2	one2one	NA		22.9
Capzb	ENSMUSG00000028745	CAPZB	one2one	NA		22.9
Car11	ENSMUSG00000003273	CA11	one2one	NA		22.9
Car12	ENSMUSG00000032373	CA12	one2one	NA		22.9
Car13	ENSMUSG00000027555	CA13	one2one	NA		22.9
Car14	ENSMUSG00000038526	CA14	one2one	NA		22.9
Car2	ENSMUSG00000027562	CA2	one2one	NA		22.9
Car5b	ENSMUSG00000031373	CA5B	one2one	NA		22.9
Car7	ENSMUSG00000031883	CA7	one2one	NA		22.9
Car8	ENSMUSG00000041261	CA8	one2one	NA		22.9
Car9	ENSMUSG00000028463	CA9	one2one	NA		22.9
Card10	ENSMUSG00000033170	CARD10	one2one	NA		22.9
Card11	ENSMUSG00000036526	CARD11	one2one	NA		22.9
Card14	ENSMUSG00000013483	CARD14	one2one	NA		22.9
Card19	ENSMUSG00000037960	CARD19	one2one	NA		22.9
Card6	ENSMUSG00000041849	CARD6	one2one	NA		22.9
Card9	ENSMUSG00000026928	CARD9	one2one	NA		22.9
Carf	ENSMUSG00000026017	CARF	one2one	NA		22.9
Carhsp1	ENSMUSG00000008393	CARHSP1	one2one	NA		22.9
Carm1	ENSMUSG00000032185	CARM1	one2one	NA		22.9
Carmil1	ENSMUSG00000021338	CARMIL1	one2one	NA		22.9
Carmil2	ENSMUSG00000050357	CARMIL2	one2one	NA		22.9
Carmil3	ENSMUSG00000022211	CARMIL3	one2one	NA		22.9
Carnmt1	ENSMUSG00000024726	CARNMT1	one2one	NA		22.9
Carns1	ENSMUSG00000075289	CARNS1	one2one	NA		22.9
Cars	ENSMUSG00000010755	CARS1	one2one	NA		22.9
Cars2	ENSMUSG00000056228	CARS2	one2one	NA		22.9
Casc1	ENSMUSG00000043541	DNAI7	one2one	NA		22.9
Casc3	ENSMUSG00000078676	CASC3	one2one	NA		22.9
